batch_id,unit_id,description,connector,primary_band,scan_label,scan_range_mhz,res_freq_mhz,swr_at_res,spot1_label,spot1_freq_mhz,spot1_swr,spot2_label,spot2_freq_mhz,spot2_swr,spot3_label,spot3_freq_mhz,spot3_swr,overall_status,notes
AccelTex4,AccelTex4-03,AccelTex ATS-01047 2.4/5 GHz 4/6 dBi 4-element indoor/outdoor omni antenna with RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2546.0,1.301,2400MHz,2400.0,1.9,2450MHz,2450.0,1.469,2484MHz,2484.0,1.706,Marginal,"Cable-affected measurement — integral 36"" pigtail as shipped. SWR at resonance is the validity metric; in-band spot readings are cable-influenced. SWR@res clean (1.18–1.39) across all 4 ports confirming well-matched elements. Enterprise grade Hubbell/AccelTex 4-port MIMO panel. In-band SWR elevation consistent with cable standing-wave artifact, not antenna defect. | Marginal — 5G weak (max SWR 2.41), 2.4G good (1.77)"
AccelTex4,AccelTex4-03,AccelTex ATS-01047 2.4/5 GHz 4/6 dBi 4-element indoor/outdoor omni antenna with RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5991.0,1.309,5150MHz,5150.0,2.163,5500MHz,5500.0,1.577,5850MHz,5850.0,2.314,Marginal,"Cable-affected measurement — integral 36"" pigtail as shipped. SWR at resonance is the validity metric; in-band spot readings are cable-influenced. SWR@res clean (1.18–1.39) across all 4 ports confirming well-matched elements. Enterprise grade Hubbell/AccelTex 4-port MIMO panel. In-band SWR elevation consistent with cable standing-wave artifact, not antenna defect. | Marginal — 5G weak (max SWR 2.41), 2.4G good (1.77)"
AccelTex4,AccelTex4-04,AccelTex ATS-01047 2.4/5 GHz 4/6 dBi 4-element indoor/outdoor omni antenna with RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2573.0,1.176,2400MHz,2400.0,1.688,2450MHz,2450.0,1.463,2484MHz,2484.0,1.39,Marginal,"Cable-affected measurement — integral 36"" pigtail as shipped. SWR at resonance is the validity metric; in-band spot readings are cable-influenced. SWR@res clean (1.18–1.39) across all 4 ports confirming well-matched elements. Enterprise grade Hubbell/AccelTex 4-port MIMO panel. In-band SWR elevation consistent with cable standing-wave artifact, not antenna defect. | Marginal — 5G weak (max SWR 2.55), 2.4G good (1.69)"
AccelTex4,AccelTex4-04,AccelTex ATS-01047 2.4/5 GHz 4/6 dBi 4-element indoor/outdoor omni antenna with RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5991.0,1.265,5150MHz,5150.0,2.193,5500MHz,5500.0,1.492,5850MHz,5850.0,2.437,Marginal,"Cable-affected measurement — integral 36"" pigtail as shipped. SWR at resonance is the validity metric; in-band spot readings are cable-influenced. SWR@res clean (1.18–1.39) across all 4 ports confirming well-matched elements. Enterprise grade Hubbell/AccelTex 4-port MIMO panel. In-band SWR elevation consistent with cable standing-wave artifact, not antenna defect. | Marginal — 5G weak (max SWR 2.55), 2.4G good (1.69)"
BU,BU-01,Biscuit Ultra bundled antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2471.0,1.0092,2400MHz,2400.0,1.5265,2450MHz,2450.0,1.1219,2484MHz,2484.0,1.0933,Good,Single-band 2.4 GHz confirmed. Excellent match at resonance. SWR 10+ across 5 GHz band. Bundled with Biscuit Ultra. Tested for Hedge/creator evaluation.
BU,BU-02,Biscuit Ultra bundled antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2463.5,1.0334,2400MHz,2400.0,1.4759,2450MHz,2450.0,1.0889,2484MHz,2484.0,1.1315,Good,Single-band 2.4 GHz confirmed. Excellent match at resonance. SWR 9+ across 5 GHz band. Bundled with Biscuit Ultra. Tested for Hedge/creator evaluation.
AccelTex,ACC-01,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2303.8,1.1796,2400MHz,2400.0,1.3685,2450MHz,2450.0,1.3933,2484MHz,2484.0,1.7045,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-01,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,5GHz,5GHz,4800–6000,5409.0,1.0176,5150MHz,5150.0,1.2419,5500MHz,5500.0,1.2451,5850MHz,5850.0,1.7231,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-02,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2363.0,1.0126,2400MHz,2400.0,1.3367,2450MHz,2450.0,1.4216,2484MHz,2484.0,1.3169,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-02,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,5GHz,5GHz,4800–6000,5544.0,1.052,5150MHz,5150.0,1.2987,5500MHz,5500.0,1.1749,5850MHz,5850.0,2.1935,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-03,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2558.8,1.014,2400MHz,2400.0,1.1512,2450MHz,2450.0,1.2379,2484MHz,2484.0,1.5146,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-03,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,5GHz,5GHz,4800–6000,4932.0,1.0064,5150MHz,5150.0,1.4741,5500MHz,5500.0,1.6085,5850MHz,5850.0,1.7254,Marginal,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-04,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2372.0,1.0135,2400MHz,2400.0,1.404,2450MHz,2450.0,1.4254,2484MHz,2484.0,1.2311,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-04,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,5GHz,5GHz,4800–6000,4878.0,1.0126,5150MHz,5150.0,1.8295,5500MHz,5500.0,1.6683,5850MHz,5850.0,1.6024,Marginal,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-05,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2477.8,1.0186,2400MHz,2400.0,1.4441,2450MHz,2450.0,1.3758,2484MHz,2484.0,1.231,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-05,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,5GHz,5GHz,4800–6000,5259.0,1.0404,5150MHz,5150.0,1.4071,5500MHz,5500.0,1.2829,5850MHz,5850.0,1.4111,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-06,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2511.5,1.0204,2400MHz,2400.0,1.3464,2450MHz,2450.0,1.307,2484MHz,2484.0,1.4364,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
AccelTex,ACC-06,AccelTex ATS-OO-245-46-4RPSP-36 4-element outdoor omni,RP-SMA Male,5GHz,5GHz,4800–6000,5346.0,1.0325,5150MHz,5150.0,1.0605,5500MHz,5500.0,1.3692,5850MHz,5850.0,1.9361,Good,Cable-affected measurement — 910mm RG58 integral cable. SWR at resonance excellent (~1.01) but resonance frequency spread 255MHz at 2.4GHz and 666MHz at 5GHz across ports due to cable length variance. Recal at cable end recommended for true feedpoint data. Enterprise grade Hubbell/AccelTex product. IP66. Purchased eBay surplus $30 (retail ~$300-400). 4-port MIMO design.
TAO71,TAO71-01,Taoglas GW.71.5153 Dual Band WiFi Antenna,RP-SMA Male (hinged),2.4GHz,2.4GHz,2300–2600,2468.8,1.0409,2400MHz,2400.0,1.3101,2450MHz,2450.0,1.0959,2484MHz,2484.0,1.0756,Marginal,"Outstanding 2.4 GHz — SWR 1.041 at resonance 2468.8 MHz. 5 GHz resonance at 5088 MHz just below band. SWR stays below 2.0 across full 5 GHz WiFi band. Low unit-to-unit variance at 2.4 GHz. Possible BPi-01 source antenna based on 2.4 GHz profile similarity. | Marginal — 5G weak (max SWR 2.02), 2.4G good (1.25)"
TAO71,TAO71-01,Taoglas GW.71.5153 Dual Band WiFi Antenna,RP-SMA Male (hinged),5GHz,5GHz,4800–6000,5088.0,1.1942,5150MHz,5150.0,1.2501,5500MHz,5500.0,1.879,5850MHz,5850.0,1.6578,Marginal,"Outstanding 2.4 GHz — SWR 1.041 at resonance 2468.8 MHz. 5 GHz resonance at 5088 MHz just below band. SWR stays below 2.0 across full 5 GHz WiFi band. Low unit-to-unit variance at 2.4 GHz. Possible BPi-01 source antenna based on 2.4 GHz profile similarity. | Marginal — 5G weak (max SWR 2.02), 2.4G good (1.25)"
TAO71,TAO71-02,Taoglas GW.71.5153 Dual Band WiFi Antenna,RP-SMA Male (hinged),2.4GHz,2.4GHz,2300–2600,2456.8,1.1066,2400MHz,2400.0,1.3007,2450MHz,2450.0,1.1176,2484MHz,2484.0,1.1391,Good,Outstanding 2.4 GHz — SWR 1.107 at resonance 2456.8 MHz. 5 GHz resonance at 5007 MHz just below band. SWR stays below 2.0 across full 5 GHz WiFi band. Max SWR in band 1.966 at 5766 MHz. Consistent with TAO71-01.
TAO71,TAO71-02,Taoglas GW.71.5153 Dual Band WiFi Antenna,RP-SMA Male (hinged),5GHz,5GHz,4800–6000,5007.0,1.0698,5150MHz,5150.0,1.2703,5500MHz,5500.0,1.6645,5850MHz,5850.0,1.9244,Good,Outstanding 2.4 GHz — SWR 1.107 at resonance 2456.8 MHz. 5 GHz resonance at 5007 MHz just below band. SWR stays below 2.0 across full 5 GHz WiFi band. Max SWR in band 1.966 at 5766 MHz. Consistent with TAO71-01.
TAO05,TAO05-01,Taoglas GW.05.0153 Dual Band WiFi Antenna,RP-SMA Male (hinged),2.4GHz,2.4GHz,2300–2600,0.0,1.4647,2400MHz,2400.0,4.3108,2450MHz,2450.0,4.5409,2484MHz,2484.0,4.4645,Do_Not_Use,Source antenna for Bolton Dart BT428200. SWR ~4.0-4.5 flat across 2.4 GHz band. No resonance at WiFi frequencies. Bolton Dart performance matches source antenna exactly. Not a WiFi antenna for free space SMA use.
TAO05,TAO05-01,Taoglas GW.05.0153 Dual Band WiFi Antenna,RP-SMA Male (hinged),5GHz,5GHz,4800–6000,6000.0,2.9094,5150MHz,5150.0,4.1559,5500MHz,5500.0,3.7263,5850MHz,5850.0,3.258,Do_Not_Use,Source antenna for Bolton Dart BT428200. SWR ~4.0-4.5 flat across 2.4 GHz band. No resonance at WiFi frequencies. Bolton Dart performance matches source antenna exactly. Not a WiFi antenna for free space SMA use.
TAO05,TAO05-02,Taoglas GW.05.0153 Dual Band WiFi Antenna,RP-SMA Male (hinged),2.4GHz,2.4GHz,2300–2600,2600.0,3.6297,2400MHz,2400.0,4.1888,2450MHz,2450.0,4.1488,2484MHz,2484.0,4.0327,Do_Not_Use,Source antenna for Bolton Dart BT428200. SWR ~4.0-4.5 flat across 2.4 GHz band. No resonance at WiFi frequencies. Consistent with TAO05-01. Not a WiFi antenna for free space SMA use.
TAO05,TAO05-02,Taoglas GW.05.0153 Dual Band WiFi Antenna,RP-SMA Male (hinged),5GHz,5GHz,4800–6000,0.0,1.9195,5150MHz,5150.0,4.7776,5500MHz,5500.0,3.9237,5850MHz,5850.0,3.2532,Do_Not_Use,Source antenna for Bolton Dart BT428200. SWR ~4.0-4.5 flat across 2.4 GHz band. No resonance at WiFi frequencies. Consistent with TAO05-01. Not a WiFi antenna for free space SMA use.
TAO59,TAO59-01,Taoglas GW.59.3153 3dBi Wi-Fi 6 Dipole Antenna,RP-SMA Male (hinged),2.4GHz,2.4GHz,2300–2600,2468.8,1.1776,2400MHz,2400.0,1.3484,2450MHz,2450.0,1.2088,2484MHz,2484.0,1.1917,Good,Taoglas GW.59 Wi-Fi 6 dipole. Excellent dual-band performance. Clean resonance at 2.4 GHz and 5 GHz center. Low unit-to-unit variance. Contrast reference for Bolton Dart article — shows what a properly designed WiFi dipole looks like.
TAO59,TAO59-01,Taoglas GW.59.3153 3dBi Wi-Fi 6 Dipole Antenna,RP-SMA Male (hinged),5GHz,5GHz,4800–6000,5550.0,1.1702,5150MHz,5150.0,1.9706,5500MHz,5500.0,1.2078,5850MHz,5850.0,1.7198,Good,Taoglas GW.59 Wi-Fi 6 dipole. Excellent dual-band performance. Clean resonance at 2.4 GHz and 5 GHz center. Low unit-to-unit variance. Contrast reference for Bolton Dart article — shows what a properly designed WiFi dipole looks like.
TAO59,TAO59-02,Taoglas GW.59.3153 3dBi Wi-Fi 6 Dipole Antenna,RP-SMA Male (hinged),2.4GHz,2.4GHz,2300–2600,2486.8,1.0012,2400MHz,2400.0,1.3988,2450MHz,2450.0,1.177,2484MHz,2484.0,1.0095,Good,Taoglas GW.59 Wi-Fi 6 dipole. Excellent dual-band performance. Unit 2 near-perfect 2.4 GHz SWR 1.001 at resonance. Consistent with TAO59-01. Low unit-to-unit variance confirmed.
TAO59,TAO59-02,Taoglas GW.59.3153 3dBi Wi-Fi 6 Dipole Antenna,RP-SMA Male (hinged),5GHz,5GHz,4800–6000,5559.0,1.0177,5150MHz,5150.0,1.9019,5500MHz,5500.0,1.1836,5850MHz,5850.0,1.7134,Good,Taoglas GW.59 Wi-Fi 6 dipole. Excellent dual-band performance. Unit 2 near-perfect 2.4 GHz SWR 1.001 at resonance. Consistent with TAO59-01. Low unit-to-unit variance confirmed.
TAO71,TAO71-01,Taoglas GW.71.5153 Dual Band WiFi Antenna,RP-SMA Male (hinged),2.4GHz,2.4GHz,2300–2600,2468.8,1.0409,2400MHz,2400.0,1.3101,2450MHz,2450.0,1.0959,2484MHz,2484.0,1.0756,Marginal,"Outstanding 2.4 GHz — SWR 1.041 at resonance 2468.8 MHz. Best Taoglas 2.4 GHz tested. 5 GHz resonance at 5976 MHz above WiFi band pushing SWR to 2.9 at 5500 MHz. Possible BPi-01 source antenna based on 2.4 GHz profile similarity. | Marginal — 5G weak (max SWR 2.02), 2.4G good (1.25)"
TAO71,TAO71-01,Taoglas GW.71.5153 Dual Band WiFi Antenna,RP-SMA Male (hinged),5GHz,5GHz,4800–6000,5976.0,1.2779,5150MHz,5150.0,3.2945,5500MHz,5500.0,2.9306,5850MHz,5850.0,1.5992,Marginal,"Outstanding 2.4 GHz — SWR 1.041 at resonance 2468.8 MHz. Best Taoglas 2.4 GHz tested. 5 GHz resonance at 5976 MHz above WiFi band pushing SWR to 2.9 at 5500 MHz. Possible BPi-01 source antenna based on 2.4 GHz profile similarity. | Marginal — 5G weak (max SWR 2.02), 2.4G good (1.25)"
TAO71,TAO71-02,Taoglas GW.71.5153 Dual Band WiFi Antenna,RP-SMA Male (hinged),2.4GHz,2.4GHz,2300–2600,2456.8,1.1066,2400MHz,2400.0,1.3007,2450MHz,2450.0,1.1176,2484MHz,2484.0,1.1391,Good,Outstanding 2.4 GHz — SWR 1.107 at resonance 2456.8 MHz. 5 GHz resonance at 5910 MHz above WiFi band. SWR 2.4 at 5500 MHz. Consistent with TAO71-01. Low unit-to-unit variance at 2.4 GHz.
TAO71,TAO71-02,Taoglas GW.71.5153 Dual Band WiFi Antenna,RP-SMA Male (hinged),5GHz,5GHz,4800–6000,5910.0,1.6005,5150MHz,5150.0,1.7278,5500MHz,5500.0,2.4264,5850MHz,5850.0,1.7329,Good,Outstanding 2.4 GHz — SWR 1.107 at resonance 2456.8 MHz. 5 GHz resonance at 5910 MHz above WiFi band. SWR 2.4 at 5500 MHz. Consistent with TAO71-01. Low unit-to-unit variance at 2.4 GHz.
BF3R,BF3R-01,Bingfu Dual Band WiFi 2.4GHz 5GHz 3dBi RP-SMA Male Antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2414.0,1.1462,2400MHz,2400.0,1.1877,2450MHz,2450.0,1.2373,2484MHz,2484.0,1.4677,Good,2.4 GHz resonance -36.0 MHz from center. SWR rises to 1.47 at 2484 MHz. 5 GHz resonance at 4989 MHz — high unit-to-unit scatter (903 MHz spread across batch) but SWR stays functional across WiFi band. Budget router/adapter antenna — functional but not optimized. Ships as default antenna with many routers and USB adapters.
BF3R,BF3R-01,Bingfu Dual Band WiFi 2.4GHz 5GHz 3dBi RP-SMA Male Antenna,RP-SMA Male,5GHz,5GHz,4800–6000,4989.0,1.0106,5150MHz,5150.0,1.1181,5500MHz,5500.0,1.2278,5850MHz,5850.0,1.0661,Good,2.4 GHz resonance -36.0 MHz from center. SWR rises to 1.47 at 2484 MHz. 5 GHz resonance at 4989 MHz — high unit-to-unit scatter (903 MHz spread across batch) but SWR stays functional across WiFi band. Budget router/adapter antenna — functional but not optimized. Ships as default antenna with many routers and USB adapters.
BF3R,BF3R-02,Bingfu Dual Band WiFi 2.4GHz 5GHz 3dBi RP-SMA Male Antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2394.5,1.2117,2400MHz,2400.0,1.2158,2450MHz,2450.0,1.4238,2484MHz,2484.0,1.6171,Good,2.4 GHz resonance -55.5 MHz from center. SWR rises to 1.62 at 2484 MHz. 5 GHz resonance at 5403 MHz — high unit-to-unit scatter (903 MHz spread across batch) but SWR stays functional across WiFi band. Budget router/adapter antenna — functional but not optimized. Ships as default antenna with many routers and USB adapters.
BF3R,BF3R-02,Bingfu Dual Band WiFi 2.4GHz 5GHz 3dBi RP-SMA Male Antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5403.0,1.0427,5150MHz,5150.0,1.2462,5500MHz,5500.0,1.1159,5850MHz,5850.0,1.0522,Good,2.4 GHz resonance -55.5 MHz from center. SWR rises to 1.62 at 2484 MHz. 5 GHz resonance at 5403 MHz — high unit-to-unit scatter (903 MHz spread across batch) but SWR stays functional across WiFi band. Budget router/adapter antenna — functional but not optimized. Ships as default antenna with many routers and USB adapters.
BF3R,BF3R-03,Bingfu Dual Band WiFi 2.4GHz 5GHz 3dBi RP-SMA Male Antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2414.0,1.2306,2400MHz,2400.0,1.2343,2450MHz,2450.0,1.3286,2484MHz,2484.0,1.5329,Good,2.4 GHz resonance -36.0 MHz from center. SWR rises to 1.53 at 2484 MHz. 5 GHz resonance at 5892 MHz — high unit-to-unit scatter (903 MHz spread across batch) but SWR stays functional across WiFi band. Budget router/adapter antenna — functional but not optimized. Ships as default antenna with many routers and USB adapters.
BF3R,BF3R-03,Bingfu Dual Band WiFi 2.4GHz 5GHz 3dBi RP-SMA Male Antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5892.0,1.0314,5150MHz,5150.0,1.4275,5500MHz,5500.0,1.1582,5850MHz,5850.0,1.0817,Good,2.4 GHz resonance -36.0 MHz from center. SWR rises to 1.53 at 2484 MHz. 5 GHz resonance at 5892 MHz — high unit-to-unit scatter (903 MHz spread across batch) but SWR stays functional across WiFi band. Budget router/adapter antenna — functional but not optimized. Ships as default antenna with many routers and USB adapters.
BF3R,BF3R-04,Bingfu Dual Band WiFi 2.4GHz 5GHz 3dBi RP-SMA Male Antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2429.8,1.2811,2400MHz,2400.0,1.3049,2450MHz,2450.0,1.3421,2484MHz,2484.0,1.5099,Good,2.4 GHz resonance -20.2 MHz from center. SWR rises to 1.51 at 2484 MHz. 5 GHz resonance at 5394 MHz — high unit-to-unit scatter (903 MHz spread across batch) but SWR stays functional across WiFi band. Budget router/adapter antenna — functional but not optimized. Ships as default antenna with many routers and USB adapters.
BF3R,BF3R-04,Bingfu Dual Band WiFi 2.4GHz 5GHz 3dBi RP-SMA Male Antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5394.0,1.0036,5150MHz,5150.0,1.2113,5500MHz,5500.0,1.0817,5850MHz,5850.0,1.1031,Good,2.4 GHz resonance -20.2 MHz from center. SWR rises to 1.51 at 2484 MHz. 5 GHz resonance at 5394 MHz — high unit-to-unit scatter (903 MHz spread across batch) but SWR stays functional across WiFi band. Budget router/adapter antenna — functional but not optimized. Ships as default antenna with many routers and USB adapters.
EW,EW-01,Eightwood Small WiFi Antenna 2.4GHz 5GHz Dual Band RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2600.0,2.4577,2400MHz,2400.0,2.9663,2450MHz,2450.0,2.9818,2484MHz,2484.0,2.9012,Do_Not_Use,Resonance +150.0 MHz above 2.4 GHz band center — outside WiFi band entirely. SWR 2.98 at 2450 MHz. 5 GHz resonance at 5544 MHz but SWR 3.87 at resonance — unusable. Consistent failure across all 4 units confirms design issue not QC. Unit-to-unit resonance spread only 0.8 MHz — they consistently make the wrong antenna.
EW,EW-01,Eightwood Small WiFi Antenna 2.4GHz 5GHz Dual Band RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5544.0,3.8748,5150MHz,5150.0,6.7809,5500MHz,5500.0,3.9276,5850MHz,5850.0,5.4661,Do_Not_Use,Resonance +150.0 MHz above 2.4 GHz band center — outside WiFi band entirely. SWR 2.98 at 2450 MHz. 5 GHz resonance at 5544 MHz but SWR 3.87 at resonance — unusable. Consistent failure across all 4 units confirms design issue not QC. Unit-to-unit resonance spread only 0.8 MHz — they consistently make the wrong antenna.
EW,EW-02,Eightwood Small WiFi Antenna 2.4GHz 5GHz Dual Band RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2600.0,2.8998,2400MHz,2400.0,3.1895,2450MHz,2450.0,3.2191,2484MHz,2484.0,3.229,Do_Not_Use,Resonance +150.0 MHz above 2.4 GHz band center — outside WiFi band entirely. SWR 3.22 at 2450 MHz. 5 GHz resonance at 5574 MHz but SWR 3.45 at resonance — unusable. Consistent failure across all 4 units confirms design issue not QC. Unit-to-unit resonance spread only 0.8 MHz — they consistently make the wrong antenna.
EW,EW-02,Eightwood Small WiFi Antenna 2.4GHz 5GHz Dual Band RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5574.0,3.4478,5150MHz,5150.0,6.7405,5500MHz,5500.0,3.7829,5850MHz,5850.0,4.9522,Do_Not_Use,Resonance +150.0 MHz above 2.4 GHz band center — outside WiFi band entirely. SWR 3.22 at 2450 MHz. 5 GHz resonance at 5574 MHz but SWR 3.45 at resonance — unusable. Consistent failure across all 4 units confirms design issue not QC. Unit-to-unit resonance spread only 0.8 MHz — they consistently make the wrong antenna.
EW,EW-03,Eightwood Small WiFi Antenna 2.4GHz 5GHz Dual Band RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2600.0,2.6061,2400MHz,2400.0,2.6957,2450MHz,2450.0,2.7263,2484MHz,2484.0,2.7673,Do_Not_Use,Resonance +150.0 MHz above 2.4 GHz band center — outside WiFi band entirely. SWR 2.73 at 2450 MHz. 5 GHz resonance at 5556 MHz but SWR 3.72 at resonance — unusable. Consistent failure across all 4 units confirms design issue not QC. Unit-to-unit resonance spread only 0.8 MHz — they consistently make the wrong antenna.
EW,EW-03,Eightwood Small WiFi Antenna 2.4GHz 5GHz Dual Band RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5556.0,3.7161,5150MHz,5150.0,7.8932,5500MHz,5500.0,4.0591,5850MHz,5850.0,5.4737,Do_Not_Use,Resonance +150.0 MHz above 2.4 GHz band center — outside WiFi band entirely. SWR 2.73 at 2450 MHz. 5 GHz resonance at 5556 MHz but SWR 3.72 at resonance — unusable. Consistent failure across all 4 units confirms design issue not QC. Unit-to-unit resonance spread only 0.8 MHz — they consistently make the wrong antenna.
EW,EW-04,Eightwood Small WiFi Antenna 2.4GHz 5GHz Dual Band RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2599.2,2.4717,2400MHz,2400.0,2.694,2450MHz,2450.0,2.6293,2484MHz,2484.0,2.5917,Do_Not_Use,Resonance +149.2 MHz above 2.4 GHz band center — outside WiFi band entirely. SWR 2.63 at 2450 MHz. 5 GHz resonance at 5559 MHz but SWR 4.00 at resonance — unusable. Consistent failure across all 4 units confirms design issue not QC. Unit-to-unit resonance spread only 0.8 MHz — they consistently make the wrong antenna.
EW,EW-04,Eightwood Small WiFi Antenna 2.4GHz 5GHz Dual Band RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5559.0,3.9971,5150MHz,5150.0,9.2338,5500MHz,5500.0,4.3532,5850MHz,5850.0,5.2418,Do_Not_Use,Resonance +149.2 MHz above 2.4 GHz band center — outside WiFi band entirely. SWR 2.63 at 2450 MHz. 5 GHz resonance at 5559 MHz but SWR 4.00 at resonance — unusable. Consistent failure across all 4 units confirms design issue not QC. Unit-to-unit resonance spread only 0.8 MHz — they consistently make the wrong antenna.
